1 2  1 1262454010
1 3  1 1262454010
1 4  1 1262454010
1 5  1 1262454010
1 6  1 1262454010
1 7  1 1262454010
1 8  1 1262454010
1 9  1 1262454010
1 10  1 1262454010
1 11  1 1262454010
1 12  1 1262454010
1 13  1 1262454010
1 14  1 1262454010
1 15  1 1262454010
1 16  1 1262454010
1 17  1 1262454010
18 19  1 1262583526
18 19  1 1262583575
20 3  1 1262585289
20 21  1 1262585429
20 22  1 1262585488
20 23  1 1262585516
24 25  1 1262586908
26 27  1 1262586943
28 29  1 1262587000
1 7  1 1262587114
29 30  1 1262587333
29 28  1 1262587438
11 31  1 1262587685
11 32  1 1262587685
11 25  1 1262587685
11 33  1 1262587685
31 11  1 1262587713
33 11  1 1262587750
1 7  1 1262587999
34 21  1 1262588054
35 3  1 1262588115
36 37  1 1262588121
36 37  1 1262588121
25 11  1 1262588321
25 24  1 1262588340
23 21  1 1262588413
36 38  1 1262588508
39 21  1 1262588513
13 3  1 1262588553
13 40  1 1262588553
13 8  1 1262588553
13 35  1 1262588553
13 41  1 1262588553
13 4  1 1262588553
42 43  1 1262588676
42 43  1 1262588678
42 43  1 1262588686
42 43  1 1262588688
42 44  1 1262588796
26 45  1 1262588892
46 21  1 1262588989
42 3  1 1262589053
16 1  1 1262589108
16 1  1 1262589145
47 48  1 1262589167
16 8  1 1262589178
47 48  1 1262589200
16 8  1 1262589210
49 42  1 1262589248
26 21  1 1262589265
49 21  1 1262589270
26 32  1 1262589278
29 22  1 1262589288
3 8  1 1262589314
3 13  1 1262589314
3 50  1 1262589314
3 35  1 1262589314
3 51  1 1262589314
3 52  1 1262589314
3 18  1 1262589314
3 53  1 1262589314
3 20  1 1262589314
50 3  1 1262589380
46 1  1 1262589421
54 17  1 1262589427
54 17  1 1262589427
3 50  1 1262589431
1 46  1 1262589489
55 56  1 1262589505
55 50  1 1262589564
8 3  1 1262589631
13 3  1 1262589677
27 42  1 1262589703
19 57  1 1262589730
42 27  1 1262589743
19 58  1 1262589780
19 50  1 1262589788
55 23  1 1262589827
19 21  1 1262589922
19 23  1 1262589922
59 2  1 1262589958
34 24  1 1262589962
39 27  1 1262589971
55 21  1 1262589986
24 34  1 1262590008
55 42  1 1262590037
35 3  1 1262590054
60 23  1 1262590477
59 2  1 1262590600
13 3  1 1262590666
