2029 10429
1	392	1	1
1	963	1	1
1	1699	1	1
1	1939	1	1
1	1946	1	1
3	412	1	1
3	1874	1	1
4	1805	1	1
7	1669	1	2
9	1669	1	2
11	117	1	9
11	155	1	9
11	412	1	9
11	419	1	9
11	434	1	9
11	457	1	9
11	556	1	9
11	558	1	9
11	574	1	9
11	713	1	9
11	796	1	6
11	827	1	9
11	867	1	9
11	869	1	9
11	890	1	9
11	916	1	9
11	965	1	9
11	978	1	9
11	999	1	9
11	1019	1	9
11	1120	1	9
11	1135	1	9
11	1214	1	9
11	1258	1	9
11	1277	1	9
11	1323	1	9
11	1382	1	9
11	1440	1	9
11	1576	1	9
11	1586	1	9
11	1669	1	9
11	1833	1	9
11	1845	1	9
11	1874	1	9
11	1962	1	9
11	1963	1	9
11	1987	1	9
11	2006	1	9
12	64	1	6
12	119	1	9
12	120	1	30
12	155	1	24
12	165	1	27
12	243	1	12
12	266	1	12
12	278	1	27
12	316	1	3
12	419	1	24
12	434	1	15
12	457	1	39
12	465	1	21
12	479	1	27
12	511	1	36
12	556	1	18
12	558	1	18
12	574	1	36
12	585	1	18
12	641	1	3
12	690	1	24
12	827	1	36
12	904	1	24
12	980	1	21
12	999	1	36
12	1011	1	3
12	1019	1	15
12	1073	1	3
12	1081	1	6
12	1100	1	3
12	1120	1	30
12	1135	1	12
12	1191	1	12
12	1214	1	3
12	1241	1	15
12	1258	1	36
12	1278	1	3
12	1287	1	3
12	1323	1	30
12	1369	1	36
12	1402	1	15
12	1430	1	27
12	1440	1	39
12	1486	1	3
12	1510	1	33
12	1576	1	39
12	1586	1	39
12	1587	1	1
12	1619	1	27
12	1629	1	36
12	1663	1	3
12	1669	1	39
12	1670	1	10
12	1718	1	9
12	1751	1	36
12	1767	1	33
12	1792	1	38
12	1833	1	3
12	1839	1	15
12	1845	1	6
12	1874	1	21
12	1876	1	3
12	1878	1	36
12	1963	1	39
12	1987	1	36
12	2001	1	15
12	2006	1	30
14	24	1	26
14	25	1	27
14	45	1	1
14	47	1	26
14	74	1	1
14	92	1	1
14	108	1	1
14	120	1	26
14	136	1	1
14	165	1	26
14	168	1	1
14	196	1	1
14	203	1	26
14	217	1	27
14	218	1	1
14	266	1	26
14	272	1	27
14	280	1	1
14	306	1	26
14	329	1	28
14	339	1	1
14	344	1	1
14	403	1	1
14	410	1	26
14	411	1	1
14	412	1	26
14	419	1	26
14	453	1	26
14	457	1	27
14	465	1	26
14	511	1	25
14	521	1	1
14	536	1	1
14	558	1	26
14	585	1	27
14	599	1	1
14	605	1	1
14	641	1	26
14	650	1	1
14	690	1	26
14	717	1	1
14	723	1	1
14	737	1	1
14	794	1	26
14	817	1	26
14	827	1	1
14	841	1	1
14	852	1	28
14	873	1	1
14	890	1	26
14	903	1	1
14	939	1	1
14	955	1	1
14	961	1	1
14	964	1	1
14	980	1	26
14	999	1	29
14	1019	1	26
14	1064	1	1
14	1084	1	1
14	1120	1	26
14	1129	1	1
14	1179	1	26
14	1194	1	1
14	1239	1	1
14	1241	1	26
14	1258	1	27
14	1269	1	2
14	1278	1	1
14	1291	1	1
14	1295	1	1
14	1323	1	26
14	1331	1	1
14	1369	1	2
14	1380	1	1
14	1409	1	1
14	1430	1	26
14	1432	1	1
14	1434	1	26
14	1440	1	27
14	1453	1	1
14	1467	1	27
14	1501	1	27
14	1506	1	1
14	1522	1	27
14	1532	1	1
14	1550	1	1
14	1576	1	26
14	1578	1	1
14	1580	1	1
14	1586	1	28
14	1587	1	27
14	1597	1	1
14	1608	1	1
14	1661	1	1
14	1670	1	26
14	1673	1	1
14	1743	1	26
14	1768	1	2
14	1782	1	1
14	1791	1	1
14	1792	1	26
14	1839	1	26
