Def,Node1,Node2,Common Neighbours,Adamic-Adar,Jaccard Coefficient,Preferential Attachment
1,1,2,10,2.243357899781765,0.10204081632653061,7224
1,2,1,10,2.243357899781765,0.10204081632653061,7224
1,1,3,2,0.32803508104096657,0.03571428571428571,504
1,3,1,2,0.32803508104096657,0.03571428571428571,504
1,1,4,31,7.537656008615396,0.1076388888888889,37044
1,4,1,31,7.537656008615396,0.1076388888888889,37044
0,1,5,4,0.8645622892131737,0.058823529411764705,2352
0,5,1,4,0.8645622892131737,0.058823529411764705,2352
1,1,6,11,2.103792877701951,0.09821428571428571,9828
1,6,1,11,2.103792877701951,0.09821428571428571,9828
0,1,7,6,1.3205909178473827,0.08571428571428572,1764
0,7,1,6,1.3205909178473827,0.08571428571428572,1764
1,1,8,17,3.4293209521943764,0.06719367588932806,33684
1,8,1,17,3.4293209521943764,0.06719367588932806,33684
0,1,9,1,0.16683457378359495,0.01818181818181818,84
0,9,1,1,0.16683457378359495,0.01818181818181818,84
1,1,10,3,0.55556372584233,0.04918032786885246,1092
1,10,1,3,0.55556372584233,0.04918032786885246,1092
1,1,11,18,4.016337101416545,0.06521739130434782,37632
1,11,1,18,4.016337101416545,0.06521739130434782,37632
0,1,12,7,1.871997209381663,0.09210526315789473,4032
0,12,1,7,1.871997209381663,0.09210526315789473,4032
0,1,13,4,0.8338012777859044,0.06557377049180328,840
0,13,1,4,0.8338012777859044,0.06557377049180328,840
0,1,14,2,0.5541006146278056,0.03571428571428571,336
0,14,1,2,0.5541006146278056,0.03571428571428571,336
0,1,15,6,1.113503637178982,0.07692307692307693,3780
0,15,1,6,1.113503637178982,0.07692307692307693,3780
0,1,16,7,1.7321385216163105,0.09090909090909091,3696
0,16,1,7,1.7321385216163105,0.09090909090909091,3696
0,1,17,9,1.900197665326506,0.05660377358490566,9492
0,17,1,9,1.900197665326506,0.05660377358490566,9492
0,1,18,4,0.7575755593638654,0.06349206349206349,1932
0,18,1,4,0.7575755593638654,0.06349206349206349,1932
0,1,19,3,0.5845697688212584,0.047619047619047616,1512
0,19,1,3,0.5845697688212584,0.047619047619047616,1512
0,1,20,10,2.18081191823351,0.11363636363636363,5712
0,20,1,10,2.18081191823351,0.11363636363636363,5712
0,1,21,2,0.3742174995229035,0.03636363636363636,336
0,21,1,2,0.3742174995229035,0.03636363636363636,336
1,1,22,1,0.16422936937652555,0.016666666666666666,1008
1,22,1,1,0.16422936937652555,0.016666666666666666,1008
0,1,23,3,0.4948696548245615,0.05454545454545454,504
0,23,1,3,0.4948696548245615,0.05454545454545454,504
1,1,24,17,3.2922191514912,0.02040816326530612,109032
1,24,1,17,3.2922191514912,0.02040816326530612,109032
0,1,25,3,0.46753272413505564,0.033707865168539325,5712
0,25,1,3,0.46753272413505564,0.033707865168539325,5712
0,1,26,3,0.7568782019695736,0.046153846153846156,2100
0,26,1,3,0.7568782019695736,0.046153846153846156,2100
0,1,27,1,0.1965564746312216,0.017543859649122806,420
0,27,1,1,0.1965564746312216,0.017543859649122806,420
0,1,28,8,1.8318945596773353,0.10810810810810811,4200
0,28,1,8,1.8318945596773353,0.10810810810810811,4200
0,1,29,1,0.20998813014637793,0.014925373134328358,1848
0,29,1,1,0.20998813014637793,0.014925373134328358,1848
0,1,30,3,0.5380232111873445,0.046875,1848
0,30,1,3,0.5380232111873445,0.046875,1848
0,1,31,0,0,0.0,168
0,31,1,0,0,0.0,168
0,1,32,2,0.32803508104096657,0.03636363636363636,336
0,32,1,2,0.32803508104096657,0.03636363636363636,336
0,1,33,3,0.7077492183598053,0.03614457831325301,4956
0,33,1,3,0.7077492183598053,0.03614457831325301,4956
0,1,34,0,0,0.0,168
0,34,1,0,0,0.0,168
0,1,35,1,0.16380571166444102,0.017857142857142856,336
0,35,1,1,0.16380571166444102,0.017857142857142856,336
0,1,36,4,0.7193694375067711,0.06896551724137931,1176
0,36,1,4,0.7193694375067711,0.06896551724137931,1176
0,1,37,17,3.462347788612248,0.12056737588652482,16380
0,37,1,17,3.462347788612248,0.12056737588652482,16380
0,1,38,1,0.16380571166444102,0.01818181818181818,168
0,38,1,1,0.16380571166444102,0.01818181818181818,168
0,1,39,14,2.5374470300999024,0.112,11676
0,39,1,14,2.5374470300999024,0.112,11676
0,1,40,5,1.0583703014625454,0.08196721311475409,1176
0,40,1,5,1.0583703014625454,0.08196721311475409,1176
0,1,41,1,0.13949764309408907,0.01818181818181818,168
0,41,1,1,0.13949764309408907,0.01818181818181818,168
0,1,42,5,1.0036366709875058,0.08771929824561403,1092
0,42,1,5,1.0036366709875058,0.08771929824561403,1092
0,1,43,1,0.20998813014637793,0.01818181818181818,168
0,43,1,1,0.20998813014637793,0.01818181818181818,168
0,1,44,1,0.13949764309408907,0.015873015873015872,1344
0,44,1,1,0.13949764309408907,0.015873015873015872,1344
0,1,45,2,0.36835951163324393,0.03389830508474576,1008
0,45,1,2,0.36835951163324393,0.03389830508474576,1008
0,1,46,1,0.16422936937652555,0.01818181818181818,168
0,46,1,1,0.16422936937652555,0.01818181818181818,168
0,1,47,2,0.373793841810819,0.03076923076923077,1848
0,47,1,2,0.373793841810819,0.03076923076923077,1848
0,1,48,1,0.16422936937652555,0.01818181818181818,168
0,48,1,1,0.16422936937652555,0.01818181818181818,168
0,1,49,2,0.32803508104096657,0.03076923076923077,1428
0,49,1,2,0.32803508104096657,0.03076923076923077,1428
0,1,50,2,0.32803508104096657,0.034482758620689655,840
0,50,1,2,0.32803508104096657,0.034482758620689655,840
0,1,51,6,1.2062911516255739,0.04411764705882353,12348
0,51,1,6,1.2062911516255739,0.04411764705882353,12348
0,1,52,2,0.32803508104096657,0.03571428571428571,504
0,52,1,2,0.32803508104096657,0.03571428571428571,504
1,1,53,2,0.38872915205873504,0.025974025974025976,2940
1,53,1,2,0.38872915205873504,0.025974025974025976,2940
0,1,54,3,0.5684842545224604,0.04838709677419355,1512
0,54,1,3,0.5684842545224604,0.04838709677419355,1512
0,1,55,5,1.0533943901610903,0.04,10836
0,55,1,5,1.0533943901610903,0.04,10836
0,1,56,1,0.13949764309408907,0.01818181818181818,168
0,56,1,1,0.13949764309408907,0.01818181818181818,168
0,1,57,4,0.7842466006142388,0.056338028169014086,2856
0,57,1,4,0.7842466006142388,0.056338028169014086,2856
0,1,58,2,0.40467854285801946,0.03225806451612903,1260
0,58,1,2,0.40467854285801946,0.03225806451612903,1260
0,1,59,11,2.4545732188777647,0.11458333333333333,5544
0,59,1,11,2.4545732188777647,0.11458333333333333,5544
0,1,60,0,0,0.0,168
0,60,1,0,0,0.0,168
0,1,61,7,1.2828849532550586,0.06422018348623854,9240
0,61,1,7,1.2828849532550586,0.06422018348623854,9240
0,1,62,0,0,0.0,168
0,62,1,0,0,0.0,168
0,1,63,1,0.20998813014637793,0.017857142857142856,336
0,63,1,1,0.20998813014637793,0.017857142857142856,336
0,1,64,1,0.16380571166444102,0.017857142857142856,336
0,64,1,1,0.16380571166444102,0.017857142857142856,336
0,1,65,0,0,0.0,168
0,65,1,0,0,0.0,168
0,1,66,1,0.13949764309408907,0.01639344262295082,1008
0,66,1,1,0.13949764309408907,0.01639344262295082,1008
1,1,67,4,0.6859002746339034,0.043010752688172046,6636
1,67,1,4,0.6859002746339034,0.043010752688172046,6636
0,1,68,0,0,0.0,672
0,68,1,0,0,0.0,672
0,1,69,0,0,0.0,168
0,69,1,0,0,0.0,168
0,1,70,1,0.16380571166444102,0.016129032258064516,1092
0,70,1,1,0.16380571166444102,0.016129032258064516,1092
0,1,71,1,0.16422936937652555,0.015873015873015872,1008
0,71,1,1,0.16422936937652555,0.015873015873015872,1008
0,1,72,3,0.480189221326922,0.046875,1680
0,72,1,3,0.480189221326922,0.046875,1680
0,1,73,0,0,0.0,84
0,73,1,0,0,0.0,84
0,1,74,0,0,0.0,252
0,74,1,0,0,0.0,252
0,1,75,1,0.22886186853915486,0.01818181818181818,168
0,75,1,1,0.22886186853915486,0.01818181818181818,168
0,1,76,1,0.22886186853915486,0.017857142857142856,336
0,76,1,1,0.22886186853915486,0.017857142857142856,336
0,1,77,1,0.16380571166444102,0.016666666666666666,840
0,77,1,1,0.16380571166444102,0.016666666666666666,840
0,1,78,3,0.6070903943165902,0.05084745762711865,924
0,78,1,3,0.6070903943165902,0.05084745762711865,924
